task_id,must_read,may_update,owner_repo,notes
LOR000,README.md; docs/architecture_overview.md; docs/mcp_server.md; .context/VISION_PLAN.md; .context/tasks/cicd-distribution-gaps.md; Makefile; Cargo.toml; .github/workflows/*; release-please-config.json; LifeOS required files; runner required files; Yazelix flake files,docs/lifeos-portable-release-roadmap.md; .context/tasks/lifeos-portable-release-roadmap.md,meta,Audit only before source edits
LOR001,docs/lifeos-portable-release-roadmap.md,docs/lifeos-release-filesystem-layout.md; docs/lifeos-portable-release-roadmap.md,meta,Keep release prefix separate from host root
LOR002,README.md; docs/mcp_server.md; .meta.yaml; docs/lifeos-portable-release-roadmap.md,docs/lifeos-portable-release-roadmap.md; future release manifest fixture,meta,Use provides and depends_on semantics
LOR003,docs/mcp_server.md; docs/architecture_overview.md; docs/lifeos-portable-release-roadmap.md,docs/mcp_server.md; docs/lifeos-portable-release-roadmap.md,meta,Plan CLI and MCP together
LOR004,docs/lifeos-runner-build-pipeline.md; flexnetos_runner scripts/install-runner-services.sh; flexnetos_runner crates/runner-actions/src/main.rs,docs/lifeos-runner-build-pipeline.md,meta; flexnetos_runner,Do not edit dirty runner worktree from roadmap PR
LOR005,yazelix flake.nix; yazelix flake.lock; yazelix README.md,docs/lifeos-toolchain-and-dependency-bundle.md; docs/lifeos-portable-release-roadmap.md,meta; yazelix,Relocation proof is future work
LOR006,LifeOS README.md; LifeOS AGENTS.md; LifeOS DESIGN.md; LifeOS src-tauri/tauri.conf.json; LifeOS package.json,docs/lifeos-portable-release-roadmap.md; .context/tasks/lifeos-release-task-file-map.csv,meta; lifeos,LifeOS was remote-inspected in roadmap PR
LOR007,docs/lifeos-agentic-os-architecture.md; docs/lifeos-install-update-rollback-contract.md,docs/lifeos-agentic-os-architecture.md; docs/lifeos-install-update-rollback-contract.md; LifeOS crates/lifeos-supervisor; LifeOS crates/lifeos-update-manager; LifeOS crates/lifeos-runtime,lifeos,Runtime manager belongs in LifeOS
LOR008,docs/lifeos-security-and-sandbox-policy.md; LifeOS Tauri config and capabilities,docs/lifeos-security-and-sandbox-policy.md; LifeOS src-tauri/capabilities/; LifeOS src-tauri/permissions/,meta; lifeos,No kernel isolation claim
LOR009,docs/lifeos-toolchain-and-dependency-bundle.md; LifeOS bun.lock; Cargo.lock; Yazelix flake.lock,docs/lifeos-toolchain-and-dependency-bundle.md,meta,Bundle only proven runtime payloads
LOR010,docs/lifeos-toolchain-and-dependency-bundle.md; LifeOS crates/lifeos-core/Cargo.toml,docs/lifeos-toolchain-and-dependency-bundle.md; future LifeOS Cargo.toml files,lifeos,Subsystems remain planned until implemented
LOR011,docs/lifeos-security-and-sandbox-policy.md; runner host preflight output,docs/lifeos-security-and-sandbox-policy.md; docs/lifeos-portable-release-roadmap.md,meta; runner,GPU/CUDA is blocked until proof
LOR012,docs/lifeos-install-update-rollback-contract.md; docs/lifeos-release-filesystem-layout.md,docs/lifeos-install-update-rollback-contract.md; future install.sh fixture,meta; lifeos,Host adapters are opt-in
LOR013,docs/lifeos-release-acceptance-gates.md; issue #98 validation commands,docs/lifeos-release-acceptance-gates.md,meta,Only real command output is PASS
LOR014,meta_cli source; meta_mcp source; docs/lifeos-portable-release-roadmap.md,meta_cli/; meta_mcp/; tests/; docs/lifeos-portable-release-roadmap.md,meta,Read-only release plan scaffold first
LOR015,LOR014 fixture output; release manifest design,fixtures/; tests/; docs/,meta,Small schema and fixture only
LOR016,flexnetos_runner _work/README.md; scripts/install-runner-services.sh; crates/runner-actions/src/main.rs,.github/workflows/; crates/runner-actions/; scripts/,flexnetos_runner,Dry-run runner workflow only
LOR017,LifeOS README.md; AGENTS.md; DESIGN.md; src-tauri/tauri.conf.json; package.json,release/agentic-os/; src-tauri/capabilities/; src-tauri/permissions/; crates/lifeos-runtime/,lifeos,Requires local LifeOS checkout before edits
LOR018,All prior evidence; manifests; logs; artifact manifests,manifests/; logs/release/; release package metadata,meta; runner; lifeos; yazelix,End-to-end dry-run validation
