task_id,title,phase,owner_repo,target_files,depends_on,allowed_changes,forbidden_actions,validation_gate,evidence_path,status,notes
LOR000,Evidence audit: meta/lifeos/runner/yazelix current state,evidence,meta,docs/lifeos-portable-release-roadmap.md; .context/tasks/lifeos-portable-release-roadmap.md,,Read-only inspection and evidence table updates,Source or workflow mutation before evidence is sealed,git diff --check; CSV parse,.context/tasks/lifeos-portable-release-roadmap.md,PLANNED,Seal FACT/TARGET/QUESTION/BLOCKER rows before implementation work
LOR001,Define portable release filesystem layout,architecture,meta,docs/lifeos-release-filesystem-layout.md; docs/lifeos-portable-release-roadmap.md,LOR000,Docs and manifest field definitions,Committing built artifacts,CSV parse; link check if available,docs/lifeos-release-filesystem-layout.md,PLANNED,Keep prefix separate from host root
LOR002,Define LifeOS release manifest and repo graph,architecture,meta,docs/lifeos-portable-release-roadmap.md; future release manifest fixture,LOR000; LOR001,Docs and small manifest fixture,GitHub publish or runner mutation,meta project list --recursive --json,docs/lifeos-portable-release-roadmap.md,PLANNED,Use provides and depends_on semantics
LOR003,Define meta release command/MCP roadmap,architecture,meta,docs/lifeos-portable-release-roadmap.md; docs/mcp_server.md,LOR002,Docs and command shape only,Implementing mutation commands before confirmation policy,git diff --check,docs/mcp_server.md,PLANNED,Plan CLI and MCP together
LOR004,Define flexnetos_runner build/proof workflow,architecture,meta; flexnetos_runner,docs/lifeos-runner-build-pipeline.md,LOR000; LOR002,Docs and runner task contract,Editing dirty runner worktree from meta roadmap PR,CSV parse,docs/lifeos-runner-build-pipeline.md,PLANNED,Runner changes belong in a runner PR
LOR005,Define Yazelix/Nix foundation bundling strategy,architecture,meta; yazelix,docs/lifeos-toolchain-and-dependency-bundle.md,LOR000; LOR001,Docs and blocker alternatives,Claiming relocatability without proof,git diff --check,docs/lifeos-toolchain-and-dependency-bundle.md,PLANNED,Relocation remains a blocker until proven
LOR006,Define LifeOS target staging layout,architecture,meta; lifeos,docs/lifeos-portable-release-roadmap.md; .context/tasks/lifeos-release-task-file-map.csv,LOR000; LOR001,Docs and file map rows,Editing LifeOS without a local checkout and branch decision,CSV parse,.context/tasks/lifeos-release-task-file-map.csv,PLANNED,LifeOS local checkout needed for future source changes
LOR007,Define runtime supervisor/update/adopt tools,architecture,lifeos,docs/lifeos-agentic-os-architecture.md; docs/lifeos-install-update-rollback-contract.md,LOR006,Docs and crate responsibility mapping,Implementing crates in meta roadmap PR,git diff --check,docs/lifeos-agentic-os-architecture.md,PLANNED,Implementation lands in LifeOS
LOR008,Define security/sandbox/no-secret policy,security,meta,docs/lifeos-security-and-sandbox-policy.md,LOR000; LOR001,Docs and policy gates,Claiming kernel-level isolation or default host mutation,secret scan; git diff --check,docs/lifeos-security-and-sandbox-policy.md,PLANNED,Security model is user-space provenance and prefix discipline
LOR009,Define toolchain/dependency bundle strategy,architecture,meta,docs/lifeos-toolchain-and-dependency-bundle.md,LOR005; LOR008,Docs and bundle inventory,Executing downloaded binaries without provenance,git diff --check,docs/lifeos-toolchain-and-dependency-bundle.md,PLANNED,Separate build inputs from runtime payloads
